Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases,depth2,trace_length,flipped,reachableness,combined,comment
LengthTaintStrategy,3307660292_509569_1_34,3307660292,0,0,184,NOT_FLIPPED,6.031990051269531e-05,2,122,792,90,0,184,684,0,8,1,Wrong statement
LengthTaintStrategy,3393615927_45251_0_34,3393615927,0,0,389,NOT_FLIPPED,4.3392181396484375e-05,18,32,323,25,0,389,1001,0,4383,1,Wrong statement
LengthTaintStrategy,3307644023_852012_0_32,3307644023,0,0,169,NOT_FLIPPED,3.218650817871094e-05,11,18,164,35,0,169,315,0,1358,1,Wrong statement
LengthTaintStrategy,3307621814_929342_2_255,3307621814,0,0,80,NOT_FLIPPED,4.57763671875e-05,9,18,164,1,10,80,95,0,476,1,Wrong statement
LengthTaintStrategy,3999120145_509569_1_32,3999120145,0,0,224,NOT_FLIPPED,4.744529724121094e-05,2,122,792,46,0,224,690,0,773,1,Wrong statement
LengthTaintStrategy,3307637588_509569_1_288,3307637588,0,0,32,NOT_FLIPPED,5.364418029785156e-05,3,122,792,11,0,32,216,0,12,1,Wrong statement
LengthTaintStrategy,3478209417_770989_0_34,3478209417,0,0,814,NOT_FLIPPED,5.507469177246094e-05,2,32,323,10,0,814,1293,0,14,1,Wrong statement
LengthTaintStrategy,3307621814_711403_0_255,3307621814,0,0,159,NOT_FLIPPED,3.886222839355469e-05,9,18,164,1,10,159,313,0,1260,1,Wrong statement
LengthTaintStrategy,3307705832_833007_0_40,3307705832,0,0,79,NOT_FLIPPED,3.4332275390625e-05,13,122,792,55,0,79,88,0,462,1,Wrong statement
LengthTaintStrategy,3307644023_872138_0_32,3307644023,0,0,193,NOT_FLIPPED,4.982948303222656e-05,5,18,164,35,0,193,699,0,656,1,Wrong statement
LengthTaintStrategy,3307650128_509569_0_32,3307650128,0,0,674,NOT_FLIPPED,7.081031799316406e-05,7,122,792,48,0,674,683,0,2616,1,Wrong statement
LengthTaintStrategy,3307637588_384186_0_288,3307637588,0,0,458,NOT_FLIPPED,6.031990051269531e-05,13,122,792,11,0,458,844,0,5320,1,Wrong statement
LengthTaintStrategy,3307644023_651763_0_32,3307644023,0,0,449,NOT_FLIPPED,5.078315734863281e-05,15,18,164,35,0,449,973,0,5042,1,Wrong statement
LengthTaintStrategy,3307621814_880727_2_255,3307621814,0,0,756,NOT_FLIPPED,4.649162292480469e-05,7,18,164,1,10,756,1236,0,3188,1,Wrong statement
LengthTaintStrategy,3307644023_17558_0_32,3307644023,0,0,87,NOT_FLIPPED,4.5299530029296875e-05,11,18,164,35,0,87,102,0,538,1,Wrong statement
LengthTaintStrategy,3307647191_962516_0_32770,3307647191,0,0,440,NOT_FLIPPED,4.1961669921875e-05,5,122,792,44,0,440,964,0,5,1,Wrong statement
LengthTaintStrategy,3307621814_686923_0_511,3307621814,0,0,159,NOT_FLIPPED,4.506111145019531e-05,7,18,164,1,10,159,1068,0,1254,1,Wrong statement
LengthTaintStrategy,3307632638_509569_2_511,3307632638,0,0,617,NOT_FLIPPED,5.8650970458984375e-05,15,122,792,17,35,617,844,0,8052,1,Wrong statement
