Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases,depth2,trace_length,flipped,reachableness,combined,comment
GradientDescentStrategy,1355702673_245723_0_36,1355702673,694,694,1764,MAXIMUM_EXECUTION_TIME_REACHED,15.024617195129395,2,334,2206,3,0,1764,1880,0,196,5,random
GradientDescentStrategy,3219364482_767489_0_32,3219364482,1,3,413,FLIPPED_CONDITION,0.08149662017822265,1,165,1400,10,0,413,1278,1,28,5,
GradientDescentStrategy,3219381081_1037452_2_255,3219381081,0,1,597,FLIPPED_CONDITION,0.015673351287841798,1,124,1489,1,5,597,1442,1,12,5,
GradientDescentStrategy,3219390123_767489_0_32771,3219390123,0,0,408,NOT_FLIPPED,4.510879516601562e-05,0,165,1400,31,0,408,1265,0,0,5,No offsets
GradientDescentStrategy,3491148470_528566_0_288,3491148470,464,464,1711,MAXIMUM_EXECUTION_TIME_REACHED,15.198805332183838,1,334,2206,4,0,1711,2381,0,70,5,random
GradientDescentStrategy,1423248979_226656_1_32771,1423248979,0,0,339,NOT_FLIPPED,4.329681396484375e-05,0,77,773,4,0,339,1922,0,0,5,No offsets
GradientDescentStrategy,1750962049_99874_1_288,1750962049,11329,11329,210,MAXIMUM_EXECUTION_TIME_REACHED,15.000595855712891,16,6,64,1,0,210,243,0,32,5,random
GradientDescentStrategy,474424180_865792_0_32,474424180,0,3,48,FLIPPED_CONDITION,0.0325127124786377,1,6,71,10,0,48,770,1,2,5,
GradientDescentStrategy,3491180744_612041_0_36,3491180744,0,0,441,NOT_FLIPPED,6.279945373535156e-05,0,9,86,6,0,441,1077,0,0,5,No offsets
GradientDescentStrategy,1423264720_114499_1_32771,1423264720,0,0,324,NOT_FLIPPED,4.7540664672851564e-05,0,77,773,12,0,324,1615,0,0,5,No offsets
GradientDescentStrategy,2957881664_578505_1_292,2957881664,0,3,98,FLIPPED_CONDITION,0.17013306617736818,1,73,631,7,0,98,1442,1,10,5,fill_in_0
GradientDescentStrategy,1024257803_877584_0_32,1024257803,1006,1006,377,MAXIMUM_EXECUTION_TIME_REACHED,15.003834772109986,4,165,1400,24,0,377,1209,0,164,5,random
GradientDescentStrategy,3491158370_501067_0_36,3491158370,9224,9224,735,MAXIMUM_EXECUTION_TIME_REACHED,15.000763273239135,2,40,367,4,0,735,741,0,5,5,random
GradientDescentStrategy,474424180_588871_0_32,474424180,0,3,48,FLIPPED_CONDITION,0.04015836715698242,1,6,71,10,0,48,770,1,2,5,
GradientDescentStrategy,1641142382_711506_1_32,1641142382,0,1,226,FLIPPED_CONDITION,0.03543848991394043,1,24,216,9,0,226,1569,1,2,5,
GradientDescentStrategy,3491173286_245723_1_34,3491173286,0,0,2827,NOT_FLIPPED,4.8494338989257814e-05,0,334,2206,679,0,2827,2885,0,0,5,No offsets
GradientDescentStrategy,3219358905_27448_1_32,3219358905,0,1,301,FLIPPED_CONDITION,0.14918980598449708,1,165,1400,10,0,301,1058,1,4,5,
GradientDescentStrategy,1423258879_226656_1_288,1423258879,0,1,346,FLIPPED_CONDITION,0.013510704040527344,1,77,773,16,0,346,1904,1,13,5,
GradientDescentStrategy,3219361050_160617_1_288,3219361050,0,1,354,FLIPPED_CONDITION,0.015748929977416993,1,165,1400,10,0,354,1388,1,48,5,
GradientDescentStrategy,2957889353_345873_0_288,2957889353,0,21,957,FLIPPED_CONDITION,0.13549599647521973,1,19,206,9,0,957,1075,1,16,5,random
GradientDescentStrategy,3219401046_160617_0_32,3219401046,2,3,373,FLIPPED_CONDITION,0.022046804428100586,1,165,1400,14,0,373,1326,1,20,5,fill_in_0
GradientDescentStrategy,3491178203_444578_0_32770,3491178203,704,704,1765,MAXIMUM_EXECUTION_TIME_REACHED,15.028643274307251,16,100,668,5,0,1765,1880,0,36,5,random
GradientDescentStrategy,3831542430_894204_1_36,3831542430,3398,3398,2194,MAXIMUM_EXECUTION_TIME_REACHED,15.001836442947388,2,7,58,2,0,2194,2720,0,880,5,random
GradientDescentStrategy,1883546657_967053_0_288,1883546657,0,0,825,NOT_FLIPPED,3.986358642578125e-05,0,334,2206,4,0,825,1077,0,0,5,No offsets
GradientDescentStrategy,3219393753_794998_0_32771,3219393753,0,0,333,NOT_FLIPPED,5.087852478027344e-05,0,74,809,36,0,333,1342,0,0,5,No offsets
GradientDescentStrategy,3219426159_1037452_0_32771,3219426159,0,0,500,NOT_FLIPPED,0.0031442165374755858,0,124,1489,40,0,500,1442,0,0,5,No offsets
GradientDescentStrategy,3831545697_975009_1_36,3831545697,524,524,2172,MAXIMUM_EXECUTION_TIME_REACHED,15.013617134094238,3,23,198,7,0,2172,2381,0,923,5,random
GradientDescentStrategy,3486730773_483025_1_288,3486730773,384,384,548,MAXIMUM_EXECUTION_TIME_REACHED,15.025959539413453,1,165,1400,1,0,548,1442,0,13,5,random
GradientDescentStrategy,3491158370_911799_1_32771,3491158370,0,0,2170,NOT_FLIPPED,3.6716461181640625e-05,0,40,367,4,0,2170,2860,0,0,5,No offsets
GradientDescentStrategy,3491195891_257489_0_288,3491195891,469,469,2020,MAXIMUM_EXECUTION_TIME_REACHED,15.06365900039673,1,100,668,76,0,2020,2381,0,24,5,random
