Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases,depth2,trace_length,flipped,reachableness,combined
MagicByteStrategy,3068822762_582185_0_32,3068822762,0,0,125,NOT_FLIPPED,6.580352783203125e-05,0,-,-,-,-,125,151,0,0,1
MagicByteStrategy,1903825224_1037775_1_32,1903825224,0,0,149,NOT_FLIPPED,4.982948303222656e-05,0,37,512,39,0,149,235,0,0,1
MagicByteStrategy,3069408149_582185_1_32771,3069408149,0,0,126,NOT_FLIPPED,2.7179718017578125e-05,0,-,-,-,-,126,130,0,0,1
MagicByteStrategy,1903842252_582185_1_288,1903842252,0,1,128,FLIPPED_CONDITION,0.0035855770111083984,2,246,2690,40,0,128,170,1,4,1
MagicByteStrategy,1903852185_1037775_1_38,1903852185,1,14,167,NOT_FLIPPED,0.2892465591430664,1,37,512,13,0,167,235,0,4,1
MagicByteStrategy,3786813068_582185_1_32,3786813068,0,0,130,NOT_FLIPPED,4.1484832763671875e-05,0,-,-,-,-,130,136,0,0,1
MagicByteStrategy,1097652389_123636_1_38,1097652389,2,14,154,NOT_FLIPPED,0.12552499771118164,2,4,39,8,0,154,203,0,10,1
MagicByteStrategy,611337383_1037775_0_32771,611337383,0,0,126,NOT_FLIPPED,8.273124694824219e-05,0,-,-,-,-,126,139,0,0,1
MagicByteStrategy,1903821429_1037775_0_32,1903821429,0,0,127,NOT_FLIPPED,5.221366882324219e-05,0,37,512,11,0,127,139,0,0,1
MagicByteStrategy,1097652389_848897_1_38,1097652389,1,14,134,NOT_FLIPPED,0.10227179527282715,1,4,39,8,0,134,181,0,4,1
MagicByteStrategy,1903877529_441853_0_32,1903877529,0,1,140,FLIPPED_CONDITION,0.022698163986206055,2,37,512,3,0,140,143,1,2,1
MagicByteStrategy,1834228663_441853_1_32,1834228663,0,0,131,NOT_FLIPPED,4.982948303222656e-05,0,-,-,-,-,131,139,0,0,1
MagicByteStrategy,1903821528_930920_0_32,1903821528,0,0,137,NOT_FLIPPED,5.1021575927734375e-05,0,37,512,26,0,137,143,0,0,1
MagicByteStrategy,3229195660_582185_1_32771,3229195660,0,0,130,NOT_FLIPPED,4.6253204345703125e-05,0,4,39,5,0,130,182,0,0,1
MagicByteStrategy,1903831461_582185_0_32771,1903831461,0,0,135,NOT_FLIPPED,0.000148773193359375,0,246,2690,32,0,135,173,0,0,1
