Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases,depth2,trace_length,flipped,reachableness,combined
RandomStrategy,98909640_51651_0_32771,98909640,2,2356,26,MAXIMUM_EXECUTION_TIME_REACHED,15.00118842124939,0,4,32,4,0,26,121,0,0,5
RandomStrategy,98912808_919657_1_288,98912808,479,731,218,MAXIMUM_EXECUTION_TIME_REACHED,15.008678865432739,1,10,85,12,0,218,247,0,13,5
RandomStrategy,98909640_153580_0_32,98909640,684,684,270,MAXIMUM_EXECUTION_TIME_REACHED,15.05276699066162,0,4,32,4,0,270,371,0,0,5
RandomStrategy,98946039_60229_0_32,98946039,739,747,229,MAXIMUM_EXECUTION_TIME_REACHED,15.003978538513184,1,10,85,2,0,229,234,0,2,5
RandomStrategy,296855641_261390_0_38,296855641,19801,30519,257,FLIPPED_CONDITION,10.588545322418213,1,22,149,4,0,257,260,1,2,5
RandomStrategy,98912379_970235_0_40,98912379,5,2998,203,MAXIMUM_EXECUTION_TIME_REACHED,15.001330232620239,1,10,85,2,0,203,340,0,3,5
RandomStrategy,98927229_153098_1_32,98927229,0,56,235,FLIPPED_CONDITION,5.766842269897461,1,4,32,3,0,235,247,1,1,5
RandomStrategy,296855641_211100_0_38,296855641,0,4,338,FLIPPED_CONDITION,0.14312238693237306,1,22,149,4,0,338,340,1,2,5
RandomStrategy,98934060_151922_1_38,98934060,477,481,215,MAXIMUM_EXECUTION_TIME_REACHED,15.043184804916383,2,31,339,1,0,215,234,0,4,5
RandomStrategy,98928384_1000659_0_32771,98928384,6,2682,23,MAXIMUM_EXECUTION_TIME_REACHED,15.001979684829712,0,4,32,4,0,23,126,0,0,5
RandomStrategy,296771689_261390_0_40,296771689,746,1189,203,FLIPPED_CONDITION,8.0034423828125,1,22,149,5,0,203,215,1,5,5
RandomStrategy,98909640_93985_0_32771,98909640,364,1549,130,MAXIMUM_EXECUTION_TIME_REACHED,15.010638189315795,0,4,32,4,0,130,238,0,0,5
RandomStrategy,98948910_131172_1_38,98948910,6,2364,24,MAXIMUM_EXECUTION_TIME_REACHED,15.001597023010254,1,54,420,2,0,24,121,0,2,5
RandomStrategy,98907957_131172_0_32,98907957,537,2181,215,MAXIMUM_EXECUTION_TIME_REACHED,15.000588274002075,1,54,420,4,0,215,256,0,1,5
RandomStrategy,98909640_20309_1_32,98909640,97,143,430,FLIPPED_CONDITION,0.29611854553222655,0,4,32,4,0,430,435,1,0,5
RandomStrategy,296858413_131172_0_38,296858413,0,5,219,FLIPPED_CONDITION,0.094996976852417,1,54,420,2,0,219,225,1,2,5
RandomStrategy,98912379_193050_0_40,98912379,491,748,212,FLIPPED_CONDITION,13.150012397766114,1,10,85,2,0,212,247,1,3,5
RandomStrategy,98924853_261390_0_38,98924853,563,891,225,MAXIMUM_EXECUTION_TIME_REACHED,15.01909031867981,1,22,149,2,0,225,255,0,3,5
RandomStrategy,890278240_123985_0_288,890278240,3929,3929,234,MAXIMUM_EXECUTION_TIME_REACHED,15.002308750152588,2,-,-,-,-,234,281,0,36,5
RandomStrategy,98899674_131172_0_32771,98899674,0,2184,6,MAXIMUM_EXECUTION_TIME_REACHED,15.003917407989501,0,54,420,4,0,6,14,0,0,5
RandomStrategy,98927229_801711_0_32,98927229,673,3015,146,MAXIMUM_EXECUTION_TIME_REACHED,15.000741529464722,1,4,32,3,0,146,225,0,1,5
RandomStrategy,98952804_131172_0_38,98952804,12,60,141,FLIPPED_CONDITION,0.025476551055908202,1,54,420,2,0,141,147,1,2,5
RandomStrategy,98928384_357687_1_32,98928384,2204,3456,202,FLIPPED_CONDITION,4.553889513015747,0,4,32,4,0,202,206,1,0,5
RandomStrategy,98914623_123985_1_288,98914623,494,494,268,MAXIMUM_EXECUTION_TIME_REACHED,15.059538078308105,1,22,149,7,0,268,371,0,79,5
RandomStrategy,98913336_131172_1_40,98913336,450,2104,136,MAXIMUM_EXECUTION_TIME_REACHED,15.001482915878295,1,54,420,8,0,136,256,0,3,5
RandomStrategy,296738722_765407_1_36,296738722,167,489,148,MAXIMUM_EXECUTION_TIME_REACHED,15.04076828956604,1,6,61,4,0,148,234,0,3,5
RandomStrategy,98927229_144448_0_32,98927229,4,2711,27,MAXIMUM_EXECUTION_TIME_REACHED,15.000950479507447,1,4,32,3,0,27,126,0,1,5
RandomStrategy,296742187_60229_1_40,296742187,503,503,191,MAXIMUM_EXECUTION_TIME_REACHED,15.068211364746094,1,-,-,-,-,191,371,0,10,5
RandomStrategy,296694469_131172_0_32,296694469,0,1,121,FLIPPED_CONDITION,0.07418994903564453,0,54,420,3,0,121,126,1,0,5
RandomStrategy,98909640_944619_0_32,98909640,593,893,244,MAXIMUM_EXECUTION_TIME_REACHED,15.008225440979004,0,4,32,4,0,244,255,0,0,5
RandomStrategy,98928384_20309_1_32771,98928384,1651,2575,488,MAXIMUM_EXECUTION_TIME_REACHED,15.00049180984497,0,4,32,4,0,488,492,0,0,5
RandomStrategy,98946039_840868_0_32,98946039,9634,14800,234,FLIPPED_CONDITION,11.176193761825562,1,10,85,2,0,234,283,1,2,5
RandomStrategy,98909640_168574_1_32771,98909640,47,69,224,FLIPPED_CONDITION,0.3403317451477051,0,4,32,4,0,224,228,1,0,5
RandomStrategy,98909640_961657_0_32771,98909640,3,814,30,MAXIMUM_EXECUTION_TIME_REACHED,15.00164704322815,0,4,32,4,0,30,39,0,0,5
RandomStrategy,98922675_919657_1_288,98922675,2761,4270,242,MAXIMUM_EXECUTION_TIME_REACHED,15.003084754943847,1,10,85,13,0,242,254,0,37,5
RandomStrategy,98922675_145288_1_288,98922675,90,29955,52,FLIPPED_CONDITION,12.06039400100708,1,10,85,13,0,52,147,1,23,5
RandomStrategy,98912808_790838_0_288,98912808,2031,2031,244,MAXIMUM_EXECUTION_TIME_REACHED,15.004906225204468,1,10,85,12,0,244,496,0,19,5
RandomStrategy,98928384_289905_1_32771,98928384,5831,9003,233,MAXIMUM_EXECUTION_TIME_REACHED,15.000296831130981,0,4,32,4,0,233,237,0,0,5
RandomStrategy,98899047_131172_0_32,98899047,3,788,14,MAXIMUM_EXECUTION_TIME_REACHED,15.010650014877319,0,54,420,4,0,14,39,0,0,5
