Strategy;id;cmpid;nrOfMisses;nrOfInputs;depth;status;totalTime;nrOfOffsets;cyclomatic;oviedo;chain_size;cases
ConcolicStrategy;1903824597_1037775_1_32771;1903824597;34;49;0;NOT_FLIPPED;1.4369266033172607;0;37;512;39;0
ConcolicStrategy;1834228663_441853_0_32;1834228663;19;24;0;NOT_FLIPPED;0.12875843048095703;0;-;-;-;-
ConcolicStrategy;611337383_441853_0_32771;611337383;19;21;0;NOT_FLIPPED;0.12389135360717773;0;-;-;-;-
ConcolicStrategy;1903877529_930920_1_32;1903877529;0;1;0;FLIPPED_CONDITION;0.01774907112121582;2;37;512;3;0
ConcolicStrategy;3072984623_726465_0_32771;3072984623;19;33;0;NOT_FLIPPED;8.007712602615356;0;-;-;-;-
ConcolicStrategy;3229184935_214889_1_32;3229184935;23;35;0;NOT_FLIPPED;0.27705931663513184;0;3;36;9;0
ConcolicStrategy;1903833210_582185_0_32;1903833210;20;21;0;NOT_FLIPPED;0.1740105152130127;0;246;2690;24;0
ConcolicStrategy;1903845816_582185_0_32;1903845816;0;1;0;FLIPPED_CONDITION;0.01929616928100586;2;246;2690;14;0
ConcolicStrategy;1834228663_1037775_0_32771;1834228663;19;24;0;NOT_FLIPPED;0.12136673927307129;0;-;-;-;-
ConcolicStrategy;1903821495_930920_0_32;1903821495;19;24;0;NOT_FLIPPED;0.12358999252319336;0;37;512;20;0
ConcolicStrategy;1834300834_441853_1_32;1834300834;19;22;0;NOT_FLIPPED;0.14047718048095703;0;-;-;-;-
ConcolicStrategy;1903821429_441853_1_32771;1903821429;19;21;0;NOT_FLIPPED;0.11861562728881836;0;37;512;11;0
ConcolicStrategy;3229184935_286295_1_32;3229184935;23;38;0;NOT_FLIPPED;8.009093761444092;0;3;36;9;0
ConcolicStrategy;1834300834_520974_0_32;1834300834;19;24;0;NOT_FLIPPED;0.12269783020019531;0;-;-;-;-
