Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases
RandomStrategy,3307704611_833007_1_40,3307704611,75,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.049158334732055664,13,122,792,55,0
RandomStrategy,3307679201_509569_1_40,3307679201,72,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04870891571044922,2,122,792,57,0
RandomStrategy,1333140038_129207_1_32,1333140038,31,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.0491485595703125,1,86,322,2,0
RandomStrategy,1632342941_962516_0_32,1632342941,95,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04839754104614258,12,122,792,46,0
RandomStrategy,3407808083_833007_0_32,3407808083,89,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04804658889770508,8,122,792,46,0
RandomStrategy,3307701278_509569_0_34,3307701278,75,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04803466796875,2,122,792,77,0
RandomStrategy,3307704611_509569_0_40,3307704611,55,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04635930061340332,7,122,792,55,0
RandomStrategy,1239199518_770989_1_38,1239199518,88,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04734301567077637,15,32,323,22,0
RandomStrategy,3307673624_833007_1_40,3307673624,59,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04788780212402344,8,122,792,2,0
RandomStrategy,2562861074_174840_0_38,2562861074,43,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.0468137264251709,13,32,323,23,0
RandomStrategy,3307642373_962516_1_34,3307642373,82,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04923200607299805,2,122,792,18,0
RandomStrategy,3307621814_561634_0_511,3307621814,81,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.047457218170166016,7,18,164,1,10
RandomStrategy,3307704611_509569_1_40,3307704611,53,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.047690629959106445,7,122,792,55,0
RandomStrategy,3307621814_249878_2_255,3307621814,76,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04709029197692871,13,18,164,1,10
RandomStrategy,3307644023_231168_0_32,3307644023,68,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.051418304443359375,15,18,164,35,0
RandomStrategy,3478193082_45251_0_255,3478193082,2,47,0,FLIPPED_CONDITION,0.005431652069091797,14,32,323,8,6
