Strategy;id;cmpid;nrOfMisses;nrOfInputs;depth;status;totalTime;nrOfOffsets;cyclomatic;oviedo;chain_size;cases
RandomTaintStrategy;283705649_345873_1_36;283705649;0;0;0;NOT_FLIPPED;2.4557113647460938e-05;0;19;206;7;0
RandomTaintStrategy;3491113061_263335_2_255;3491113061;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.08763670921325684;4;81;663;29;2
RandomTaintStrategy;3831553518_834770_0_32771;3831553518;0;0;0;NOT_FLIPPED;2.1219253540039062e-05;0;8;65;8;0
RandomTaintStrategy;3219382533_767489_0_32;3219382533;0;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.09594225883483887;1;165;1400;10;0
RandomTaintStrategy;3491176718_14881_1_32771;3491176718;0;0;0;NOT_FLIPPED;1.5974044799804688e-05;0;40;367;12;0
RandomTaintStrategy;2244137588_572790_0_32771;2244137588;0;0;0;NOT_FLIPPED;2.4318695068359375e-05;0;-;-;-;-
RandomTaintStrategy;2957893214_578505_1_288;2957893214;0;3;0;FLIPPED_CONDITION;0.002664327621459961;1;73;631;10;0
RandomTaintStrategy;474421177_226656_1_288;474421177;0;1;0;FLIPPED_CONDITION;0.0005202293395996094;1;77;773;24;0
RandomTaintStrategy;3491187806_46169_0_32;3491187806;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.051000356674194336;2;100;668;75;0
RandomTaintStrategy;1883541410_711453_0_32;1883541410;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.08115625381469727;5;40;367;8;0
RandomTaintStrategy;3491189225_444578_0_34;3491189225;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.04535508155822754;1;100;668;75;0
RandomTaintStrategy;1883552894_245723_0_32771;1883552894;0;0;0;NOT_FLIPPED;2.2649765014648438e-05;0;334;2206;679;0
RandomTaintStrategy;3219381675_705152_0_40;3219381675;999;1000;0;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.07270979881286621;1;165;1400;10;0
