cmpid, context, order, belong, p, op, condition, is_desirable, offsets, state
2675955822, 180066, 65537, 189, 65535, 32771, 2, 3c, ffffffffffffffff, true, , Offset
250361218, 438053, 65537, 15, 65535, 32771, 2, 11, 3c, true, , Offset
762865291, 510784, 65537, 16, 65535, 32771, 2, 11, 3c, true, , Offset
2675955822, 721803, 65537, 191, 65535, 32771, 2, 3c, ffffffffffffffff, true, , Offset
250345345, 510784, 65537, 16, 65535, 32771, 2, 11, 3c, true, , Offset
250351681, 387560, 65537, 132, 65535, 32771, 2, 0, 10, true, , Offset
3709757528, 848649, 1, 18, 65535, 32, 2, 6568, 5a4d, true, , Offset
1616569498, 848649, 1, 18, 65535, 32, 2, 6568, 5a4d, true, , Offset
2288608249, 848649, 65551, 18, 65535, 32771, 2, 4, 4, true, , Offset
3489500287, 848649, 1, 935, 65535, 16416, 0, 31, 0, true, 1-2, Unsolvable
1340731515, 848649, 1, 19, 65535, 32, 2, e, 63, true, , OneByte
3489555826, 848649, 1, 935, 65535, 16416, 0, 30, 0, true, 2-3, Unsolvable
1341231366, 848649, 1, 19, 65535, 32, 2, 63, 63, false, , OneByte
2523162613, 848649, 1, 20, 65535, 32, 2, 65, 45, true, , OneByte
2523052624, 848649, 1, 20, 65535, 32, 2, 65, 45, true, , OneByte
1233627041, 141617, 1, 20, 65535, 32, 2, 65, 45, true, , OneByte
1232637140, 141617, 1, 20, 65535, 32, 2, 65, 45, true, , OneByte
2676007764, 567039, 1, 21, 65535, 288, 2, c91e4619, 80, true, , Offset
2676007764, 567039, 65537, 21, 65535, 32771, 2, c91e4619, 80, true, , Offset
762865291, 848649, 65543, 25, 65535, 32771, 2, 3, 18, true, , Offset
2675955822, 85758, 65537, 26, 65535, 32771, 2, 18, ffffffffffffffff, true, , Offset
3709718621, 848649, 65537, 25, 65535, 32771, 2, 3, 18, true, , Offset
2676007764, 810992, 6, 21, 2605, 32, 0, 0, c91e4619, true, 60-61&61-62&62-63&63-64, OffsetAllEnd
1616530591, 848649, 65537, 25, 65535, 32771, 2, 3, 18, true, , Offset
3489611365, 848649, 1, 935, 65535, 16416, 0, 41, 0, true, 3-4, Unsolvable
1341731217, 848649, 1, 23, 65535, 32, 2, 63, 63, false, , OneByte
2523162646, 848649, 1, 24, 65535, 32, 2, 6c, 4c, true, , OneByte
2523052657, 848649, 1, 24, 65535, 32, 2, 6c, 4c, true, , OneByte
1233627338, 141617, 1, 24, 65535, 32, 2, 6c, 4c, true, , OneByte
1232637437, 141617, 1, 24, 65535, 32, 2, 6c, 4c, true, , OneByte
2676007764, 810992, 65548, 26, 65535, 32771, 2, 0, 4, true, , Offset
2288608249, 848649, 65543, 26, 65535, 32771, 2, 18, 18, true, , Offset
3709765679, 848649, 1, 26, 65535, 32, 2, 7c7cb830, 4550, true, , Offset
1616577649, 848649, 1, 26, 65535, 32, 2, 7c7cb830, 4550, true, , Offset
2676007764, 510937, 65537, 27, 65535, 32771, 2, 0, 4, true, , Offset
762865291, 188868, 65537, 27, 65535, 32771, 2, 1, 1, true, , Offset
2288608249, 188868, 65537, 27, 65535, 32771, 2, 1, 1, true, , Offset
2675955822, 464214, 65537, 27, 65535, 32771, 2, 1, ffffffffffffffff, true, , Offset
1878671111, 188868, 65537, 27, 65535, 32771, 2, 1, 1, true, , Offset
1163144388, 188868, 1, 935, 65535, 32, 1, 53, 53, false, 0-1, Unsolvable
